"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","ppm","mzminexp","mzmaxexp","ppmexp"
"CP061",87.0109729586428,87.0106285377359,87.0112216454317,518.58100000002,496.62400000002,541.53700000002,159446.612624036,156599.858413851,7979.03076171875,60,1,3.40823505134132,87.0092327391836,87.0127131781019,39.999999999991
"CP235",88.0426034416758,88.0424448825398,88.0428951409709,703.221,692.24299999998,724.18000000002,20974164.0083271,20962654.8693722,1704611.625,3951,1,2.55704859644305,88.040842589607,88.0443642937446,40.0000000000142
"CP149",88.0828908987408,88.0822513705718,88.0847445830789,750.13000000002,744.141,758.11399999998,3039.94161596791,3028.96283025364,354.095794677734,353,1,14.1526491788094,88.0811292409228,88.0847445830789,41.0447717956339
"CP468",88.9900469836034,88.9888601847039,88.9906893990295,1730.22799999998,1672.341,1731.22600000002,87066.2220134859,86663.1409291589,2292.63110351562,39,1,10.2776343401734,88.9882671826638,88.9918267845431,39.9999999998563
"CP467",88.9902437481253,88.9896182798093,88.9908178207927,1571.538,1539.6,1630.42300000002,258890.928178765,258279.586024286,4709.4296875,85,1,6.73973310347045,88.9884639432504,88.9920235530003,40.0000000000333
"CP452",89.0265694016503,89.0263285506362,89.0269556466338,1539.6,1520.637,1560.55900000002,400877.183702277,389894.976260315,32771.61328125,119,1,3.52195980224984,89.0247888702623,89.0283499330384,39.9999999999056
"CP083",89.0266944921628,89.0265660952915,89.0267834554887,518.58100000002,494.628,540.53800000002,5860781.89498981,5844763.81529027,267937.65625,1066,1,1.22075855141899,89.024913958273,89.0284750260527,39.9999999998273
"CP155",89.0459431458755,89.0457781962394,89.0460247832772,704.21899999998,687.252,724.18000000002,1667648.6842469,1664268.03028558,137263.375,668,1,1.38460568240959,89.0441622270126,89.0477240647384,39.9999999998983
"CP053",90.0301153901944,90.0298305754661,90.030354462574,517.58299999998,494.628,540.53800000002,207875.511011834,207317.871991887,10288.40625,153,1,2.90951036560491,90.0283147878866,90.0319159925022,39.99999999998
"CP146",90.0470235022145,90.0463886916947,90.0474588405126,704.21899999998,693.24100000002,724.18000000002,276457.987267203,275025.920617728,22700.083984375,167,1,5.94216652760573,90.0452225617445,90.0488244426845,39.9999999999215
"CP126",91.0501978879373,91.0494292323642,91.052129588624,704.21899999998,698.23099999998,715.19800000002,9126.05592367731,9112.08310014786,1238.46411132812,1237,1,14.8289422892402,91.0483768839795,91.052129588624,41.2157769176291
"CP103",92.036431664532,92.0344240729043,92.0374026813413,684.258,673.27999999998,695.23699999998,26490.8133317746,26469.8543772292,3007.09350585938,3006,1,16.1816814446987,92.0344240729043,92.0382723931653,41.8130102552121
"CP371",92.9979221319061,92.9976439810671,92.9982675215229,1542.594,1530.618,1558.563,23351.4468764061,22987.4075831268,4738.7646484375,47,1,3.35244294440717,92.9960621734634,92.9997820903487,39.9999999998202
"CP421",93.0114487657039,93.0107670374439,93.0126807912575,1545.588,1516.64500000002,1574.532,68165.5338170782,63287.1849815664,9541.49609375,46,1,10.2877325262873,93.0095885367286,93.0133089946792,39.9999999999223
"CP429",96.9624504305645,96.9621408344096,96.9631862197507,1542.594,1537.60399999998,1563.55300000002,608010.064090605,595987.72513899,111803.4453125,127,1,5.39067100969049,96.9605111815559,96.9643896795731,39.9999999999248
"CP338",98.9743428234031,98.9741941561104,98.9745044310081,1236.18700000002,1210.23700000002,1271.11900000002,2629904.34678912,2524029.31536202,67966.9453125,28,1,1.56745116406691,98.9723633365467,98.9763223102596,39.9999999998997
"CP547",99.0087842422795,99.0085634903761,99.0089853027587,861.91399999998,808.017,937.76599999998,3466170.10671567,3267639.32425319,40359.3125,80,1,2.13017655870648,99.0068040665947,99.0107644179644,39.999999999934
"CP548",99.0103635426683,99.0083087259478,99.011181898953,1535.60800000002,1507.662,1563.55300000002,493460.161656719,407077.894080553,43248.7421875,86,1,14.5094558910387,99.0083087259478,99.0123437499391,40.7535519202434
"CP142",100.935983127843,100.935258958829,100.936934677146,705.21700000002,694.239,741.147,54757.8386275322,54444.3245946326,2868.720703125,60,1,8.30089659189133,100.93396440818,100.938001847505,39.999999999892
"CP316",100.970607794785,100.97025728833,100.971220642335,1236.18700000002,1213.23199999998,1271.11900000002,331772.230874141,317491.314576698,10513.3525390625,27,1,4.77046749490966,100.968588382629,100.972627206941,40.0000000000029
"CP077",101.026740174181,101.026608176534,101.026827167231,518.58100000002,494.628,540.53800000002,1168653.71156622,1162991.05939031,55870.7734375,245,1,1.08382541352973,101.024719639377,101.028760708984,40.0000000000268
"CP050",102.029954287965,102.029418744271,102.030806330367,517.58299999998,498.61999999998,540.53800000002,54765.0686959722,54312.1456372637,3218.9130859375,55,1,6.79989570611167,102.027913688879,102.03199488705,39.9999999998689
"CP104",102.048767252995,102.046458062451,102.049199870767,685.25599999998,676.27399999998,695.23699999998,19920.8435191761,19902.8785718077,2489.45361328125,2488,1,13.4338139952799,102.046458062451,102.05080822834,42.6283041507218
"CP242",104.037872999247,104.037753615875,104.037976021019,815.00299999998,799.03399999998,836.96299999998,16892468.6450403,16880440.1087961,1031458.875,2676,1,1.06886626070778,104.035792241787,104.039953756707,40.0000000000146
"CP227",104.081062341972,104.080186727283,104.0821285885,882.873,876.885,889.86,2999.02094755907,2987.04402448215,323.260864257812,322,1,9.32860009893145,104.078980720725,104.083143963219,39.9999999999634
"CP111",105.040249213548,105.038868536927,105.041347662348,685.25599999998,670.28500000002,711.20599999998,61340.4521239088,60953.4220781837,5825.42236328125,92,1,11.8008355831325,105.038148408564,105.042350018532,39.9999999999122
"CP228",105.041018361191,105.040738597498,105.041162650958,816.00100000002,803.02600000002,837.96100000002,627082.278845502,623728.175646603,37447.5390625,201,1,2.01851365500533,105.038917540824,105.043119181558,40.0000000000274
"CP208",106.042079688641,106.04142971329,106.042614404834,816.00100000002,805.02199999998,837.96100000002,115433.55256245,113686.694607805,7077.751953125,46,1,5.58595016176426,106.039958847047,106.044200530235,39.9999999999869
"CP372",106.997248168444,106.996970179319,106.998451791879,1542.594,1538.60200000002,1547.58499999998,12572.1426758408,12553.5124819815,2650.51025390625,98,1,6.92360124209102,106.995108223481,106.999388113408,39.9999999999773
"CP054",107.037093163663,107.036814969154,107.037450760047,518.58100000002,496.62400000002,540.53800000002,219541.109039,219022.671085776,12051.66796875,153,1,2.96995590017654,107.0349524218,107.039233905527,39.9999999998427
"CP517",109.006716561403,109.006596609256,109.006853452894,452.709,392.826,528.56200000002,11095848.6620242,10948915.0335364,99966.2421875,279,1,1.17810922818556,109.004536427072,109.008896695734,39.9999999998358
"CP518",109.006731651155,109.006578886022,109.006940802037,665.295,596.42899999998,708.21100000002,5426148.94154627,5304956.14850791,63511.84765625,142,1,1.66006268315312,109.004551516522,109.008911785788,39.9999999998521
"CP519",109.006751230939,109.00666775641,109.006838426742,500.616,483.64900000002,524.56999999998,3576295.41108491,3531249.41759356,96371.1953125,257,1,0.78284294574743,109.004571095915,109.008931365964,39.9999999998267
"CP520",109.006757253997,109.006607129726,109.006889855333,310.986,300.00700000002,322.96300000002,1505647.21604959,1479906.2928011,85500.2421875,238,1,1.29682606164877,109.004577118852,109.008937389142,39.9999999999049
"CP516",109.006772721472,109.006593238231,109.006882587676,342.924,300.00700000002,385.84000000002,6724155.6995208,6630847.54683637,117794.984375,329,1,1.3272085666992,109.004592586018,109.008952856927,40.0000000000258
"CP550",111.010885031416,111.010691483184,111.011123477435,1996.71400000002,1976.75299999998,2028.651,1691414.78808952,1684352.72190129,40201.92578125,205,1,1.9457292465676,111.008664813715,111.013105249117,39.9999999999397
"CP549",111.011014989717,111.010816279225,111.011291357636,1780.131,1726.236,1860.97600000002,22402433.0507529,22386043.1425225,261908.828125,1376,1,2.13978050088534,111.008794769417,111.013235210016,39.9999999999273
"CP551",111.011039336386,111.01095095497,111.01114705702,1804.08400000002,1790.11099999998,1846.005,11213997.1723126,11206401.5973335,250353.859375,1315,1,0.883254725056052,111.008819115599,111.013259557172,39.9999999998273
"CP531",112.014390324161,112.013985352062,112.014845412789,1764.162,1737.21499999998,1792.107,591657.109051361,581923.773639741,15322.271484375,57,1,3.8390635571184,112.012150036354,112.016630611967,39.9999999999348
"CP434",112.939406123731,112.938350267922,112.940660333319,1566.54799999998,1556.56699999998,1590.501,10650.9453421173,10530.6910133008,1933.15771484375,38,1,10.2270123267063,112.937147335609,112.941664911854,39.9999999998834
"CP079",113.026855612246,113.026649068867,113.027051469084,518.58100000002,494.628,540.53800000002,1657231.02291839,1651366.59851194,75551.3828125,397,1,1.78010887331894,113.024595075134,113.029116149359,39.9999999999551
"CP438",114.012028405605,114.010318812312,114.013468670603,1567.54600000002,1546.587,1595.49100000002,17668.1981972405,17354.4558440935,1958.89624023438,32,1,13.8137104287494,114.009748165037,114.014308646173,39.9999999998724
"CP042",114.030051543215,114.029272905301,114.030732713353,519.57896875002,501.61399999998,535.548,89915.3112688896,89760.0589950908,4920.5439453125,121,1,6.40097953192545,114.027770942184,114.032332144246,39.9999999998239
"CP131",114.058373761388,114.057246356346,114.059176848154,703.221,684.258,722.184,53852.4088778928,53328.0569929426,6010.798828125,72,1,8.46273598623381,114.056092593913,114.060654928863,39.9999999999477
"CP475",115.005816020262,115.005254218249,115.00644475397,1740.20899999998,1725.23800000002,1762.16599999998,132914.285107647,130427.353616489,6730.3916015625,37,1,5.1759804915411,115.003515903942,115.008116136582,40.0000000000084
"CP474",115.006045149376,115.005759693977,115.006398237526,1707.273,1689.30799999998,1724.23999999998,265393.366572489,262835.371979344,11256.7685546875,63,1,2.77613036689883,115.003745028473,115.008345270279,39.9999999998699
"CP473",115.006272240549,115.006067067317,115.006431190213,1539.6,1529.62000000002,1559.56099999998,8472387.27516616,8470255.66385787,747804.75,4187,1,1.58305668289043,115.003972115104,115.008572365994,40.000000000015
"CP449",116.009416447653,116.009052012365,116.009754054195,1539.6,1529.62000000002,1560.55900000002,381895.618501596,376571.417949572,30133.798828125,121,1,3.02579675107692,116.007096259325,116.011736635982,39.9999999998529
"CP465",116.930958726275,116.930582396796,116.931268576563,1660.365,1638.40699999998,1682.322,555609.009274875,531134.981105641,24043.72265625,26,1,2.93412358297623,116.928620107101,116.93329734545,39.9999999998383
"CP464",116.930971142933,116.930598038666,116.931311948193,1579.52200000002,1542.594,1629.42499999998,1185365.1111729,1138049.16447876,21743.345703125,23,1,3.05269647541953,116.92863252351,116.933309762356,39.9999999998645
